,JE6 0m DMSO R1,JE6 0m DMSO R2,JE6 0m DMSO R3,JE6 0m DMSO R4,JE6 0m DMSO R5,JE6 5m DMSO R1,JE6 5m DMSO R2,JE6 5m DMSO R3,JE6 5m DMSO R4,JE6 5m DMSO R5,JE6 0m U0126 R1,JE6 0m U0126 R2,JE6 0m U0126 R3,JE6 0m U0126 R4,JE6 0m U0126 R5,JE6 5m U0126 R1,JE6 5m U0126 R2,JE6 5m U0126 R3,JE6 5m U0126 R4,JE6 5m U0126 R5,J.TCPTP- 0m DMSO R1,J.TCPTP- 0m DMSO R2,J.TCPTP- 0m DMSO R3,J.TCPTP- 0m DMSO R4,J.TCPTP- 0m DMSO R5,J.TCPTP- 5m DMSO R1,J.TCPTP- 5m DMSO R2,J.TCPTP- 5m DMSO R3,J.TCPTP- 5m DMSO R4,J.TCPTP- 5m DMSO R5,J.TCPTP- 0m U0126 R1,J.TCPTP- 0m U0126 R2,J.TCPTP- 0m U0126 R3,J.TCPTP- 0m U0126 R4,J.TCPTP- 0m U0126 R5,J.TCPTP- 5m U0126 R1,J.TCPTP- 5m U0126 R2,J.TCPTP- 5m U0126 R3,J.TCPTP- 5m U0126 R4,J.PTPN22- 0m DMSO R1,J.PTPN22- 0m DMSO R2,J.PTPN22- 0m DMSO R3,J.PTPN22- 0m DMSO R4,J.PTPN22- 0m DMSO R5,J.PTPN22- 5m DMSO R1,J.PTPN22- 5m DMSO R2,J.PTPN22- 5m DMSO R3,J.PTPN22- 5m DMSO R4,J.PTPN22- 5m DMSO R5,J.PTPN22- 0m U0126 R1,J.PTPN22- 0m U0126 R2,J.PTPN22- 0m U0126 R3,J.PTPN22- 0m U0126 R4,J.PTPN22- 0m U0126 R5,J.PTPN22- 5m U0126 R1,J.PTPN22- 5m U0126 R2,J.PTPN22- 5m U0126 R3,J.PTPN22- 5m U0126 R4,J.PTPN22- 5m U0126 R5,J.SHP1- 0m DMSO R1,J.SHP1- 0m DMSO R2,J.SHP1- 0m DMSO R3,J.SHP1- 0m DMSO R4,J.SHP1- 0m DMSO R5,J.SHP1- 5m DMSO R1,J.SHP1- 5m DMSO R2,J.SHP1- 5m DMSO R3,J.SHP1- 5m DMSO R4,J.SHP1- 5m DMSO R5,J.SHP1- 0m U0126 R1,J.SHP1- 0m U0126 R2,J.SHP1- 0m U0126 R3,J.SHP1- 0m U0126 R4,J.SHP1- 0m U0126 R5,J.SHP1- 5m U0126 R1,J.SHP1- 5m U0126 R2,J.SHP1- 5m U0126 R3,J.SHP1- 5m U0126 R4,J.SHP1- 5m U0126 R5
429,725521.0,689261.0,274773.0,498484.0,461034.0,524293.0,571006.0,491982.0,602796.0,188476.0,88133.0,356448.0,354911.0,24432.0,136826.0,189852.0,228505.0,53253.0,84295.0,35543.0,331823.0,272906.0,69378.0,655736.0,237532.0,248428.0,582420.0,688733.0,1226547.0,637520.0,481846.0,382221.0,322029.0,42029.0,98460.0,598723.0,731224.0,1030369.0,43013.0,2833229.0,1256659.0,1379460.0,1810983.0,2099259.0,1793310.0,1871221.0,1893628.0,1844562.0,3518248.0,830331.0,580203.0,1382784.0,923604.0,719714.0,1103036.0,789394.0,825929.0,305403.0,813234.0,138731.0,724772.76,242243.0,1207822.14,166041.0,384597.0,27333.0,6983972.0,534236.0,202717.0,73708.0,31507.0,116797.0,387854.0,39591.0,210955.0,1228992.11,734288.01,18979.0,157257.0
430,355839.0,509451.0,249773.0,894372.0,843081.0,223996.0,154755.0,393495.0,140345.0,245387.0,208110.0,139449.0,65615.0,131524.0,125709.0,47356.0,112884.0,50093.0,176553.0,224522.0,91240.0,184066.0,48680.0,344665.0,181657.0,141421.0,93811.0,189479.0,133427.0,246377.0,318471.0,388048.0,332850.0,634882.0,635131.0,367318.0,143252.0,411233.0,210612.0,564465.42,238313.47,149577.0,281836.0,202031.0,261745.09,158214.0,106914.0,294089.0,319010.0,233822.0,407812.0,131412.0,72401.0,193041.78,128120.0,315650.0,101065.0,262106.0,621469.0,492057.0,624463.0,241415.0,386144.0,501621.0,1532203.0,1429513.0,1023502.0,706368.0,685267.0,507505.0,335368.0,334153.04,465702.0,358341.22,498805.0,257536.0,427736.0,61025.0,195563.0
431,725521.0,689261.0,274773.0,498484.0,461034.0,524293.0,571006.0,491982.0,602796.0,188476.0,149364.0,356448.0,354911.0,24432.0,136826.0,189852.0,228505.0,53253.0,84295.0,35543.0,331823.0,272906.0,69378.0,655736.0,237532.0,248428.0,582420.0,688733.0,1226547.0,637520.0,481846.0,382221.0,322029.0,42029.0,98460.0,598723.0,731224.0,1030369.0,265481.0,2833229.0,1256659.0,1379460.0,1810983.0,2099259.0,1793310.0,1871221.0,1893628.0,1844562.0,3518248.0,830331.0,580203.0,1382784.0,923604.0,719714.0,1103036.0,789394.0,825929.0,310827.0,813234.0,138731.0,727050.51,242243.0,1182400.49,166041.0,384597.0,27333.0,6983972.0,534236.0,202717.0,73708.0,31507.0,116797.0,387854.0,39591.0,210955.0,1214821.93,732186.53,18979.0,157257.0
432,26935676.0,17382522.0,7334949.0,8101393.0,2707479.0,21403529.0,11132965.0,8697470.0,10827969.0,11703494.0,12338492.0,13093197.0,19729036.0,9106125.0,10328535.0,11882089.0,10202069.0,12792376.0,10561187.0,7837589.0,16147309.0,16933423.0,14307628.0,16566270.0,11710602.0,9677067.0,6680652.0,9059893.0,4262875.0,7047272.0,8149477.0,8267190.0,4819058.0,7726892.0,19998214.0,11212611.0,8223379.0,8079566.0,3908427.0,13935868.0,12254346.0,10842190.0,10508434.0,11634936.0,16330116.0,9609744.0,12965831.0,9918321.0,12228567.0,15485274.0,15644783.0,9090589.0,13468445.0,16509234.0,7755335.0,13494706.0,8581168.0,13110273.0,14988269.0,15231480.0,4241543.0,18718326.0,4595088.0,2230183.0,4170638.0,6053778.0,3512642.0,2230884.0,1134916.0,3090172.0,2934340.0,810773.0,5439030.0,6977200.0,5643241.0,1145073.0,6561929.0,2143061.0,2947418.0
433,912466.0,1070282.0,800316.0,952935.0,1059183.0,1523477.0,997003.0,1717435.0,2424606.0,2520145.0,319649.0,237666.0,314319.0,638117.0,349979.0,589061.0,166763.0,162369.0,701732.0,347958.0,174618.0,430158.41,221075.0,438888.0,159813.0,322511.0,174792.0,322682.0,185720.0,133645.0,553279.0,574855.0,554953.0,617280.0,630599.0,823395.0,794886.0,569022.0,335767.0,3162661.0,2212378.0,1564470.0,2600693.0,2398651.0,2573629.0,1772363.0,2577995.0,3100605.0,3490186.0,409689.0,588882.0,690790.0,943584.0,1149812.0,671652.0,595955.0,502483.0,1065340.0,1269801.0,221284.0,222299.0,172915.0,149500.0,601931.0,2073163.0,1044460.0,1211046.0,1275427.0,969975.0,450948.37,180767.0,173338.0,231096.0,62774.0,90202.0,268449.0,127367.0,423839.0,359311.0
434,10193224.0,8406516.0,5083382.0,12656486.0,11101480.0,7912574.0,7829475.0,8281197.0,20441677.0,12393891.0,6386165.0,5783470.0,4228811.0,7549346.0,7948532.0,5636470.0,4331420.0,3424380.0,7161062.0,7846984.0,3290056.0,4184177.0,3031319.0,2976327.0,3837688.0,3394954.0,2574480.0,1995542.0,2883158.0,3467939.0,4928016.0,3106835.0,3569951.0,3965826.0,2714336.0,3337553.0,4250828.0,3745625.0,2034665.0,27886164.0,14111695.0,18919418.0,33280646.0,23805047.0,13852114.0,16136774.0,13808425.0,19655638.0,17778575.0,10130263.0,8928433.0,11192670.0,9598714.0,12900750.0,11801929.0,6621716.0,7584505.0,11117235.0,10619948.0,518374.0,581351.0,478629.0,466754.0,265409.0,1069925.0,1089107.0,812964.0,772413.0,257471.0,255093.0,87710.0,47513.0,401975.0,75587.0,147593.0,52358.0,196979.0,301624.0,318796.0
435,7691625.0,6751273.0,9073785.0,5084616.0,6886708.0,387457.0,1044609.0,3553881.0,5682093.0,2853860.0,4115863.0,6313113.0,8299161.0,3057800.0,6233759.0,3593861.0,4763306.0,9566593.0,6219206.0,7301002.0,5127631.0,3308949.0,3039358.0,6703260.0,3718057.0,2220289.0,1192056.0,5178238.0,1977365.0,4868018.0,1211792.0,3746434.0,2874222.0,116720.0,2339288.0,4182445.0,15862.0,1953508.0,1927193.0,3516284.0,4339429.0,6479182.0,5853269.0,4369706.0,5244909.0,3809309.0,1576171.0,2842575.0,2834419.0,1324589.0,4291764.0,5440426.0,4827755.0,915525.0,3223546.0,3503158.0,1623431.0,1516839.0,2188906.0,119942.0,4602948.0,826668.0,34580.0,23312.0,859279.0,3889385.0,2786334.0,3594116.0,322598.0,1349870.16,52201.0,177827.0,5546499.0,1829055.0,526211.0,594869.0,2812518.0,1272462.0,1225149.0
436,3197108.0,1962890.0,965082.0,2221391.0,3355606.0,1759309.0,3964402.0,1956106.0,1734677.0,2039497.0,3862891.0,1098187.0,1999446.0,1424797.0,2096848.0,1738349.0,2544200.0,2647722.0,3355078.0,1025105.0,3601621.0,1093419.0,2818613.0,2676022.0,2113068.0,5748305.0,3626353.0,8375826.0,1136061.0,1684590.0,1532227.0,1251595.0,2735803.0,2678576.0,4668303.0,2102841.0,3677021.0,5022607.0,1443524.0,8178001.0,7653093.0,3219839.0,5700800.0,8484936.0,5338301.0,3737037.0,3239316.0,5121193.0,7621456.0,4822445.0,4353433.0,3984402.0,9407512.0,4481362.0,3661606.0,7642919.0,4377444.0,4457074.0,4744843.0,8706554.0,4180888.0,5092415.0,5817841.0,631247.0,5462167.0,3897874.0,3714952.0,1126917.0,1854004.0,2251386.0,2371010.0,659303.0,6268006.0,4551105.0,2299393.0,508832.0,4525504.0,2128021.0,1589164.0
437,855537.0,1038659.0,584956.0,568083.0,433452.0,1361729.0,694991.0,415864.0,871259.0,680958.0,2429327.0,480183.0,340797.0,223713.0,407839.0,1464073.0,2019750.0,1023027.0,181373.0,418135.0,578505.0,501232.0,459802.0,556375.0,540906.0,1697788.0,572193.0,687407.0,506275.0,541430.0,806262.0,716546.0,762114.0,753886.0,1209579.0,796816.0,1047600.0,1069375.0,473095.0,4130094.0,2124965.0,2288962.0,2696284.0,2973048.0,2516335.0,2877330.0,1855958.0,2329415.0,3171363.0,880815.0,623837.0,1785577.0,1005748.0,1461816.0,1504790.0,770536.0,987573.0,1469065.0,1266646.0,234193.58,161952.0,372478.11,335840.43,403983.35,180119.0,144600.0,100529.0,257562.0,1220980.0,400508.0,72004.0,273786.85,107214.0,83682.0,213815.59,91030.0,36098.0,325545.16,127660.0
438,966474.91,639181.31,598776.99,359103.82,612287.78,1377893.0,983305.0,1875820.0,504011.0,957442.0,528371.3,447749.88,541289.77,431370.23,361473.94,367931.78,454346.84,564891.35,126793.0,474788.22,496837.12,685040.05,758126.41,994024.6,742043.75,111267.0,758018.0,356917.0,365371.79,394560.0,296781.85,268188.4,272780.49,279617.31,829914.0,171450.0,268845.36,86355.0,338403.49,1712842.12,1571485.89,1179941.48,1358327.97,1178695.73,3738756.0,446065.0,205191.0,1248679.53,358035.0,397277.18,711654.62,351814.0,345574.83,397319.91,90932.0,527010.9,266500.79,553160.6,588835.15,444542.43,352497.5,94181.0,57293.0,331958.75,1225189.0,3281772.0,1451742.0,1950428.0,320207.0,137014.0,302525.0,219639.47,194611.0,386026.68,362489.15,118374.0,381788.82,298049.0,101681.0
