,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.TCPTP- R5,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R4,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
1771,105280000.0,109860000.0,128050000.0,108000000.0,115070000.0,93561000.0,106110000.0,117220000.0,105790000.0,62375000.0,107800000.0,87423000.0,88794000.0,32420000.0,109880000.0,110570000.0,114570000.0,105750000.0,101750000.0,112160000.0
1772,69432000.0,79734000.0,100140000.0,74350000.0,86662000.0,72395000.0,80680000.0,100400000.0,77135000.0,49999000.0,94900000.0,88640000.0,74720000.0,25057000.0,89022000.0,76508000.0,83374000.0,82027000.0,79604000.0,87121000.0
1773,69792000.0,75648000.0,86963000.0,80983000.0,94571000.0,74628000.0,90879000.0,119900000.0,91485000.0,64093000.0,111950000.0,97190000.0,100240000.0,29197000.0,108070000.0,87521000.0,105890000.0,101670000.0,124060000.0,137550000.0
1774,15994000.0,18757180.0,20279000.0,22712000.0,15877000.0,15562000.0,15512000.0,18489000.0,16089000.0,6726000.0,22403000.0,19222180.0,17441000.0,8672000.0,19750140.0,20795000.0,20754000.0,19845000.0,21223000.0,18411000.0
1775,49233000.0,47426000.0,58114000.0,54116000.0,48322000.0,38169000.0,47587000.0,59427000.0,43976000.0,33976000.0,62466000.0,48865000.0,42079000.0,16489000.0,51954000.0,54294000.0,50606000.0,48250000.0,69995000.0,51368000.0
1776,28083000.0,34260000.0,33959000.0,27880000.0,29078000.0,21777000.0,24184000.0,27173000.0,20074000.0,12653000.0,27173000.0,32988000.0,34412000.0,9151800.0,28503000.0,18281000.0,22450000.0,21084000.0,31140000.0,21635000.0
1777,59915000.0,67339000.0,68112000.0,67114000.0,69300000.0,39887000.0,57150000.0,59026000.0,58181000.0,25645000.0,75364000.0,60969000.0,60574000.0,14271000.0,65831000.0,66028000.0,62873000.0,72645000.0,71020000.0,74476000.0
1778,173700000.0,215030000.0,232740000.0,182240000.0,209650000.0,166410000.0,207390000.0,248420000.0,194850000.0,121030000.0,256800000.0,249290000.0,196490000.0,64156000.0,244370000.0,158610000.0,192710000.0,195590000.0,185110000.0,174910000.0
1779,9542200.0,10998000.0,13927000.0,11215000.0,11309000.0,10285000.0,9222900.0,12298000.0,10584000.0,6670200.0,12944000.0,13289000.0,9708300.0,4658500.0,12495000.0,13099000.0,13979000.0,10514000.0,11812000.0,9584400.0
1780,84532000.0,87866000.0,107810000.0,91706000.0,98988000.0,78867000.0,99341000.0,111090000.0,95901000.0,57846000.0,111730000.0,107710000.0,87541000.0,24102000.0,97148000.0,104660000.0,124670000.0,105100000.0,107040000.0,109180000.0
1781,8347200.0,14190000.0,14773000.0,11827000.0,13776000.0,9040900.0,11449000.0,12112000.0,10899000.0,5179100.0,10847000.0,13422000.0,11053000.0,3473500.0,9738800.0,8952900.0,8841100.0,9776200.0,12874000.0,11327000.0
1782,63964000.0,75539000.0,88976000.0,73680000.0,81686000.0,63061000.0,71847000.0,77487000.0,68292000.0,37023000.0,74247000.0,56690000.0,54660000.0,17005000.0,75008000.0,66090000.0,76246000.0,68755000.0,82047000.0,73924000.0
1783,186210000.0,223490000.0,263450000.0,216940000.0,234910000.0,178820000.0,205080000.0,259670000.0,209630000.0,124640000.0,226930000.0,241220000.0,202390000.0,72023000.0,238170000.0,202910000.0,238900000.0,228880000.0,205800000.0,243170000.0
1784,44807000.0,36974000.0,51200000.0,49420000.0,47992000.0,38345000.0,54180000.0,43374000.0,45085000.0,24395000.0,44698000.0,37680000.0,33498000.0,8005900.0,31596000.0,34324000.0,39965000.0,38634000.0,37085000.0,40772000.0
1785,42713000.0,48362000.0,45081000.0,41679000.0,50108000.0,23645000.0,25628000.0,35733000.0,29934000.0,18812000.0,39589000.0,28591000.0,29308000.0,10683000.0,41901000.0,24292000.0,26656000.0,25640000.0,22765000.0,25565000.0
1786,62574000.0,71126000.0,79936000.0,73349000.0,70532000.0,75899000.0,85362000.0,110840000.0,80296000.0,47183000.0,68130000.0,59731000.0,61346000.0,11395000.0,59514000.0,83198000.0,90341000.0,106080000.0,84107000.0,97733000.0
1787,46162000.0,57376000.0,68826000.0,65388000.0,58577000.0,33735000.0,55029000.0,52802000.0,43940000.0,34222000.0,52161000.0,41019000.0,36649000.0,29389000.0,50218000.0,46596000.0,48557000.0,50742000.0,61807000.0,47653000.0
1788,84476000.0,103770000.0,130220000.0,102810000.0,110820000.0,92632000.0,97872000.0,120140000.0,107120000.0,51958000.0,133660000.0,102610000.0,115110000.0,32385000.0,121320000.0,109620000.0,112440000.0,94110000.0,144670000.0,109020000.0
1789,72424000.0,79307000.0,94990000.0,78085000.0,80344000.0,80557000.0,85091000.0,108710000.0,88322000.0,55453000.0,87425000.0,87881000.0,66993000.0,21665000.0,88848000.0,80108000.0,83355000.0,73716000.0,83401000.0,79592000.0
1790,97945000.0,121930000.0,131490000.0,111420000.0,123280000.0,90863000.0,106230000.0,115670000.0,106560000.0,60973000.0,136120000.0,97113000.0,101180000.0,34408000.0,117870000.0,94412000.0,107160000.0,101560000.0,128530000.0,110260000.0
1791,84352000.0,97290000.0,107230000.0,79316000.0,98107000.0,104520000.0,122100000.0,149110000.0,120120000.0,69006000.0,99583000.0,101220000.0,75430000.0,31337000.0,95339000.0,103970000.0,114430000.0,103430000.0,115070000.0,118400000.0
1792,9381300.0,10104000.0,10469000.0,9194487.0,9780771.0,7440900.0,8407667.0,9368853.0,8417100.0,7732000.0,9480023.0,9272448.0,8527783.0,3558900.0,9616965.0,7735200.0,7656700.0,7680700.0,7839200.0,10981000.0
1793,56929000.0,76326000.0,80603000.0,72200000.0,82768000.0,48252000.0,63411000.0,83852000.0,60666000.0,34677000.0,71378000.0,73796000.0,65942000.0,19279000.0,81049000.0,65219000.0,81878000.0,73183000.0,71422000.0,73295000.0
1794,22158000.0,18604000.0,23457000.0,21298000.0,23072000.0,21749000.0,26925000.0,29106000.0,21852000.0,13745000.0,28225000.0,28646000.0,40045000.0,6036200.0,26957000.0,22093000.0,34955000.0,21904000.0,17855000.0,26317000.0
1795,913160000.0,1052100000.0,1239700000.0,1057300000.0,1123100000.0,714900000.0,833710000.0,1005600000.0,868670000.0,446140000.0,1232600000.0,1049500000.0,953540000.0,325260000.0,1152700000.0,1013400000.0,1142600000.0,1043900000.0,1045000000.0,998470000.0
1796,499170000.0,591390000.0,650120000.0,561440000.0,616160000.0,504850000.0,579720000.0,744880000.0,577480000.0,339770000.0,673490000.0,678180000.0,547040000.0,177560000.0,703880000.0,706980000.0,741530000.0,763710000.0,728950000.0,836250000.0
1797,23303000.0,28188000.0,39968000.0,33101000.0,31166000.0,19983000.0,24364000.0,32993000.0,29124000.0,17558000.0,29559000.0,26870000.0,27430000.0,8406700.0,28469000.0,25196000.0,31054000.0,30766000.0,36003000.0,26275000.0
1798,63754000.0,87928000.0,107290000.0,82588000.0,93188000.0,62073000.0,69519000.0,96696000.0,72268000.0,44242000.0,107940000.0,99501000.0,82241000.0,28668000.0,115640000.0,95779000.0,120310000.0,103990000.0,105490000.0,101890000.0
1799,28583000.0,28368000.0,29385000.0,29610000.0,32209000.0,21229000.0,23868000.0,30681000.0,25269000.0,16080000.0,35392000.0,35285000.0,25139000.0,7738800.0,28835000.0,35887000.0,20203000.0,25807000.0,28807000.0,20616000.0
1800,5268800.0,6633200.0,8248300.0,6659000.0,7133300.0,5083600.0,5924300.0,6646200.0,7810800.0,3915700.0,8060400.0,6120000.0,5796600.0,2391800.0,6256200.0,7280600.0,8105100.0,6689800.0,7907600.0,6237900.0
1801,10554000.0,12188000.0,18048000.0,22082000.0,14666000.0,19303000.0,17088000.0,12900000.0,14639000.0,8399200.0,23695000.0,14605000.0,7071300.0,6134000.0,11865000.0,11699000.0,13547000.0,11685000.0,26637000.0,13679000.0
1802,16975000.0,17662000.0,20807000.0,14246000.0,14369000.0,18856000.0,21128000.0,18639000.0,19909000.0,10113000.0,25615000.0,15144000.0,17329000.0,5929200.0,18336000.0,18811000.0,22335000.0,23566000.0,25221000.0,27079000.0
1803,36324000.0,11363115.0,9392800.0,21433000.0,7258100.0,20062687.0,7975400.0,10163587.0,16372303.0,20415590.0,19711000.0,6438100.0,13026916.0,21406514.0,7163500.0,12892000.0,7126100.0,7598700.0,22638000.0,7895200.0
1804,123860000.0,139980000.0,161910000.0,146240000.0,157260000.0,124000000.0,143040000.0,170710000.0,150950000.0,80438000.0,161570000.0,142460000.0,128010000.0,42384000.0,159270000.0,132270000.0,138490000.0,137980000.0,150810000.0,141890000.0
1805,19372000.0,13281000.0,11782000.0,12905908.0,10090000.0,13545648.0,9902900.0,9337100.0,12483000.0,15589289.0,11037386.0,8268700.0,12280511.0,15438780.0,7709000.0,13799558.0,13211000.0,12334000.0,15590000.0,12312000.0
1806,79882000.0,91186000.0,124400000.0,100990000.0,96623000.0,56598000.0,72603000.0,82604000.0,66116000.0,51548000.0,70212000.0,80140000.0,75027000.0,22619000.0,80444000.0,73957000.0,76992000.0,79455000.0,76766000.0,68812000.0
1807,143030000.0,175560000.0,217470000.0,184000000.0,178870000.0,127020000.0,157580000.0,186300000.0,158720000.0,99076000.0,184720000.0,175240000.0,153040000.0,49721000.0,172400000.0,153600000.0,166940000.0,180780000.0,190540000.0,154900000.0
1808,42711000.0,46698000.0,70762000.0,52307000.0,55142000.0,29820000.0,31938000.0,40542000.0,35786000.0,21554000.0,58766000.0,62731000.0,46609000.0,10942000.0,54004000.0,50211000.0,53897000.0,76208000.0,64291000.0,77864000.0
1809,86175000.0,103590000.0,107630000.0,88130000.0,93691000.0,92437000.0,102150000.0,95082000.0,87246000.0,69111000.0,98379000.0,85038000.0,78031000.0,34227000.0,90170000.0,114640000.0,115300000.0,110800000.0,104590000.0,129770000.0
1810,188170000.0,200180000.0,255780000.0,202050000.0,208780000.0,152360000.0,205780000.0,223320000.0,183450000.0,121430000.0,229110000.0,190670000.0,200140000.0,64747000.0,230630000.0,227160000.0,238150000.0,218050000.0,224400000.0,226990000.0
1811,131320000.0,128910000.0,132690000.0,107880000.0,124200000.0,140150000.0,128070000.0,137230000.0,131040000.0,77542000.0,122130000.0,128170000.0,95517000.0,35365000.0,140950000.0,91107000.0,99054000.0,100670000.0,99604000.0,104140000.0
1812,225330000.0,211540000.0,292440000.0,230860000.0,218890000.0,198810000.0,248720000.0,273520000.0,222170000.0,125530000.0,330670000.0,322330000.0,222240000.0,104460000.0,300520000.0,239230000.0,275260000.0,284350000.0,269500000.0,249000000.0
1813,7559000.0,6351000.0,11514559.0,8407029.0,9482570.0,7046600.0,9032800.0,7413200.0,7503400.0,7373358.0,16588000.0,13404000.0,10831000.0,3732500.0,12720000.0,8538865.0,9850146.0,9831088.0,9796176.0,9846137.0
1814,96272000.0,109050000.0,123470000.0,111690000.0,112650000.0,99002000.0,104640000.0,112060000.0,108500000.0,62423000.0,124970000.0,116680000.0,96525000.0,41129000.0,120750000.0,115750000.0,118710000.0,114110000.0,128980000.0,120570000.0
1815,10642000.0,14115134.0,15781300.0,12521000.0,15467000.0,11947982.0,11266000.0,13246000.0,11124000.0,10882018.0,17710000.0,14551400.0,12906000.0,6474400.0,13908000.0,11614000.0,17125000.0,21293000.0,15412000.0,12775000.0
1816,102270000.0,127190000.0,144050000.0,109870000.0,120710000.0,91403000.0,102030000.0,103270000.0,101190000.0,63926000.0,119450000.0,103960000.0,94893000.0,31859000.0,105580000.0,126540000.0,129040000.0,110770000.0,119680000.0,111980000.0
1817,23987000.0,26397000.0,30904890.0,24810000.0,25307000.0,20432000.0,23779000.0,26652000.0,23582000.0,20774000.0,42932000.0,29520350.0,31614000.0,14141000.0,30566350.0,26558310.0,28763810.0,27880300.0,28888770.0,28380930.0
1818,99615000.0,142090000.0,167440000.0,126460000.0,126990000.0,86283000.0,105880000.0,121280000.0,117140000.0,56053000.0,147900000.0,124520000.0,109240000.0,44941000.0,129450000.0,122450000.0,123670000.0,114430000.0,129050000.0,128570000.0
1819,14791000.0,16058000.0,12797000.0,16317000.0,14979000.0,8479100.0,11135000.0,12012000.0,14633000.0,6584500.0,17177000.0,13600482.0,10639000.0,6328100.0,13918000.0,15484000.0,15655000.0,8171900.0,16007000.0,17573000.0
1820,16510000.0,19820000.0,15254000.0,16228000.0,12033000.0,14116000.0,13806000.0,19922000.0,16945000.0,13255000.0,16691000.0,28522000.0,23345000.0,12044000.0,16130000.0,15342930.0,13526000.0,15030000.0,16978500.0,14648000.0
1821,69194000.0,70206000.0,85496000.0,84581000.0,88476000.0,89010000.0,112480000.0,131530000.0,100360000.0,67610000.0,91490000.0,84401000.0,69071000.0,18926000.0,81347000.0,99045000.0,101650000.0,103240000.0,109890000.0,115490000.0
1822,50041000.0,52527000.0,49741000.0,56209000.0,51344000.0,40892000.0,45085000.0,53853000.0,51941000.0,29016000.0,59806000.0,50624000.0,46560000.0,17543000.0,60452000.0,52471000.0,59001000.0,52810000.0,59772000.0,50269000.0
1823,348990000.0,380880000.0,438840000.0,350990000.0,421370000.0,283590000.0,327920000.0,433160000.0,328770000.0,203040000.0,330590000.0,305340000.0,286680000.0,76963000.0,325480000.0,422250000.0,402370000.0,413460000.0,452590000.0,461110000.0
1824,60833000.0,85586000.0,92793000.0,85248000.0,84557000.0,39112000.0,48470000.0,54367000.0,48231000.0,31657000.0,50718000.0,52783000.0,41916000.0,12969000.0,50708000.0,49317000.0,66757000.0,57184000.0,63295000.0,63421000.0
1825,261640000.0,308470000.0,370580000.0,282500000.0,333210000.0,259420000.0,282750000.0,324260000.0,251350000.0,163210000.0,362490000.0,364040000.0,285910000.0,94450000.0,384050000.0,361880000.0,419840000.0,365710000.0,450570000.0,387280000.0
1826,88790000.0,118230000.0,127250000.0,95643000.0,117860000.0,73957000.0,87866000.0,99647000.0,91835000.0,52056000.0,125900000.0,115000000.0,93825000.0,31403000.0,125480000.0,89519000.0,113560000.0,106140000.0,108660000.0,107330000.0
1827,101320000.0,616210.0,867440.0,127290000.0,608190.0,127070000.0,44602798.1,790750.0,142980000.0,857250.0,34500000.0,625640.0,32003872.1,44523000.0,710050.0,130230000.0,761980.0,807340.0,150900000.0,723270.0
1828,29067000.0,36109000.0,39404000.0,35126000.0,34778000.0,31723000.0,36950000.0,38049000.0,36365000.0,21784000.0,39604000.0,25898000.0,32469000.0,9017100.0,35974000.0,32390000.0,35648000.0,30433000.0,32660000.0,34927000.0
1829,48118000.0,45887000.0,58516000.0,49677000.0,56308000.0,44083000.0,49493000.0,58583000.0,49137000.0,31353000.0,55317000.0,49243000.0,44065000.0,12512000.0,57635000.0,54035000.0,49960000.0,51760000.0,48351000.0,56009000.0
1830,14743000.0,19339950.0,21089630.0,18171000.0,20585040.0,17483880.0,12048000.0,20038390.0,17267580.0,17457320.0,20655500.0,19751850.0,17568050.0,17978840.0,20882680.0,22836000.0,22822660.0,22574660.0,31016000.0,22028710.0
1831,573030000.0,601210000.0,745470000.0,576080000.0,651650000.0,503860000.0,540600000.0,620040000.0,515210000.0,324590000.0,606350000.0,611430000.0,509770000.0,158180000.0,530020000.0,749650000.0,776290000.0,732490000.0,772090000.0,729650000.0
1832,6401500000.0,6426000000.0,7160200000.0,6408000000.0,6591800000.0,4533900000.0,4528100000.0,5605800000.0,5356200000.0,3384100000.0,5797200000.0,5850300000.0,5031700000.0,2052800000.0,5755000000.0,6303000000.0,6557600000.0,6789100000.0,6250000000.0,6596600000.0
