,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
1049,19771000.0,20447000.0,29516000.0,21975000.0,21342000.0,19645000.0,22171000.0,25183000.0,26128000.0,27316000.0,23770000.0,23317000.0,24964000.0,23604000.0,24286000.0,24079000.0,23089000.0,21891000.0
1050,17468700.0,18628700.0,20845780.0,17238000.0,19152010.0,16833000.0,17259430.0,20228180.0,15574000.0,18425000.0,19065470.0,16959860.0,19257010.0,16040000.0,21067070.0,20183410.0,28475000.0,20510260.0
1051,17768000.0,22366000.0,24526000.0,19414000.0,21966000.0,16495000.0,20680000.0,23178000.0,20263000.0,23593000.0,23524000.0,18132000.0,20604000.0,16179000.0,20124000.0,20269000.0,17271000.0,20317000.0
1052,57545000.0,50654000.0,63505000.0,55886000.0,59165000.0,42388000.0,46348000.0,49060000.0,48533000.0,58328000.0,40792000.0,52073000.0,41612000.0,56564000.0,63686000.0,60457000.0,65178000.0,67915000.0
1053,23787000.0,34423000.0,36276000.0,27439000.0,27118000.0,16292000.0,20658000.0,23626000.0,16348000.0,23894000.0,29374000.0,22632000.0,23168000.0,19054000.0,24389000.0,22308000.0,21312000.0,21525000.0
1054,64530000.0,75919000.0,67602000.0,85041000.0,85165000.0,51224000.0,77544000.0,75831000.0,52703000.0,75285000.0,68752000.0,59007000.0,71242000.0,75941000.0,91325000.0,84695000.0,75691000.0,99517000.0
1055,31077000.0,44522000.0,52644000.0,40358000.0,44403000.0,35344000.0,43583000.0,51980000.0,42830000.0,51054000.0,54250000.0,43990000.0,50433000.0,41074000.0,50021000.0,50878000.0,49276000.0,52199000.0
1056,10449134.0,6179500.0,5602900.0,16643000.0,4903100.0,10252544.0,7013700.0,7326900.0,8961066.0,9275375.0,14371000.0,7834800.0,4502400.0,9242244.0,6474500.0,5986100.0,8717185.0,7622464.0
1057,8082800.0,9308500.0,9568000.0,9179200.0,11395000.0,10068000.0,10043000.0,8552600.0,7225600.0,8380000.0,8015400.0,7430200.0,11046000.0,6899100.0,6469700.0,8111200.0,7826900.0,7681600.0
1058,75553000.0,90238000.0,107770000.0,86135000.0,90266000.0,88122000.0,96321000.0,113830000.0,102560000.0,99677000.0,98647000.0,91867000.0,101370000.0,87416000.0,107130000.0,106440000.0,113290000.0,99413000.0
